search URL:,https://patents.google.com/?q=ginkgo&q=boloba&q=linn
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link
JP2004173504A,Method for preventing precipitation of beverage ,"Yakult Honsha Co Ltd, 株式会社ヤクルト本社","Akira Aoki, Tatsuyuki Kudo, Yasuyuki Suzuki, Masaki Yoshikawa, 辰幸 工藤, 雅樹 芳川, 康之 鈴木, 亮 青木",2002-11-22,2002-11-22,2004-06-24,,https://patents.google.com/patent/JP2004173504A/en
EP2172206A1,"The method for a sequoyitol-containing extract obtaining from the genus of trifolium, sobyean and ginkgo biloba and use thereof ",Lianchuangsiyuanli Biology And Science And Technology Co. Ltd.,"Tianyu Sun, Yanli Wang, Guixing Deng, Yinyin Wang, You Lu, Ting Wang",2007-05-30,2008-05-28,2010-04-07,,https://patents.google.com/patent/EP2172206A1/en
US20100197803A1,"Method for obtaining a sequoyitol-containing extract from a plant of the genus of trifolium, leguminosae or ginkoaceae and uses thereof ","Lianchuangsiyuanli Biology And Science And Technology Co., Ltd","Tianyu Sun, Yanli Wang, Guixing Deng, Yinyin Wang, You Lu, Ting Wang",2007-05-30,2008-05-28,2010-08-05,,https://patents.google.com/patent/US20100197803A1/en
US20150342854A1,External dermal composition for anti-ageing and method for producing the same ,"Hayashibara Co., Ltd.","Takashi Shibuya, Akiko Miyake, Tatsuya Ishihara, Masaki Miyake, Hitomi WAKE",2012-12-27,2013-12-26,2015-12-03,,https://patents.google.com/patent/US20150342854A1/en
DE4221835C1,Solid and liquid solutions of Ginkgo biloba extract ,Alfatec Pharma Gmbh,"Jens-Christian Wunderlich, Ursula Schick, Juergen Dr Werry, Juergen Dr Freidenreich",1992-07-03,1992-07-03,1994-03-03,1994-03-03,https://patents.google.com/patent/DE4221835C1/en
CN101921182B,Method for extracting and purifying 5-O-methyl-myo-inositol in plants ,湘北威尔曼制药股份有限公司,"孙明杰, 王霆, 陈优生, 林红",2009-06-16,2009-06-16,2014-01-29,2014-01-29,https://patents.google.com/patent/CN101921182B/en
JP2004002335A,"Agent for ameliorating symptom of indefinite complaint, food and composition thereof ","Ortho Corporation, 株式会社オルトコーポレーション","Ko Kurokawa, Chu Toshida, Mari Yoshida, 利田　宙, 吉田　真理, 黒川　香",2002-03-28,2003-03-24,2004-01-08,,https://patents.google.com/patent/JP2004002335A/en
CN105608336A,Assessment method for oxygen releasing quantity of urban landscaping woodlot and application thereof ,苏州大学,魏胜林,2016-02-07,2016-02-07,2016-05-25,,https://patents.google.com/patent/CN105608336A/en
JP2006328014A,Composition having prevention action on blood flow deterioration ,"Yukihiro Hirose, 廣瀬  行博","Keiko Hirose, Yukihiro Hirose, 瀬 慶 子 廣, 瀬 行 博 廣",2005-05-30,2005-05-30,2006-12-07,,https://patents.google.com/patent/JP2006328014A/en
CN1788628A,Method for preparing gingko thick juice using enzyme engineering technology ,江南大学,"王璋, 许时婴, 张慧, 田怀香",2005-12-20,2005-12-20,2006-06-21,,https://patents.google.com/patent/CN1788628A/en
